"Player","Team","Kills","Assist","Deaths","MVP","KDR","Wins","Losses","Winrate","OT Participation","Rank","BPL Rank","Rank Rating","Role","","","","","",""
"AngelxAim","5PERCENT","236","26","234","43","1.01","11","5","68.8%","2","Emerald","Level 4","1913","Awper","","","","","",""
"TortillaRoll","5PERCENT","255","42","247","41","1.03","11","5","68.8%","2","Emerald","Level 4","1902","Rifler","","Key","","","Rating","Name"
"dumbo","5PERCENT","252","21","273","33","0.92","11","5","68.8%","2","Platinum","Level 4","1756","IGL","","Ex-Pro","","","0-499","Level 1"
"Kisaragi Ren","5PERCENT","221","29","246","30","0.90","11","5","68.8%","2","Platinum","Level 4","1715","Rifler","","Promoted","","","500-999","Level 2"
"Solaonix","5PERCENT","237","21","241","27","0.98","11","5","68.8%","2","Platinum","Level 4","1702","Rifler","","","","","1000-1499","Level 3"
"Hyvred","BeeHyve","127","16","120","19","1.06","2","6","25.0%","1","Bronze","Level 2","851","Rifler","","","","","1500-1999","Level 4"
"TiniiBee","BeeHyve","87","10","121","12","0.72","2","6","25.0%","1","Iron","Level 2","617","Rifler","","","","","2000-2499","Level 5"
"kanarivt","Eiromancers","562","77","501","86","1.12","18","16","52.9%","8","Master","Level 5","2401","Rifler","","","","","2500-2999","Level 6"
"RaviasEir","Eiromancers","404","46","323","80","1.25","15","11","57.7%","4","Diamond","Level 5","2341","Rifler","","","","","3000-3499","Level 7"
"Skiazelle","Eiromancers","380","33","335","63","1.13","15","11","57.7%","4","Diamond","Level 5","2167","IGL","","","","","3500-3999","Level 8"
"Shinomiya Runa","Flood Flashers","589","76","526","80","1.12","21","10","67.7%","13","Master","Level 6","2679","Rifler","","","","","4000-4499","Level 9"
"cassiopeiarawr","Flood Flashers","387","32","324","73","1.19","12","6","66.7%","6","Diamond","Level 5","2316","Rifler","","","","","4500+","Level 10"
"Emily_melody","Flood Flashers","303","40","325","44","0.93","11","6","64.7%","8","Platinum","Level 4","1857","Rifler","","","","","",""
"ShizuyaUmiko","Flood Flashers","289","38","273","34","1.06","10","6","62.5%","6","Platinum","Level 4","1726","IGL","","","","","",""
"Komori Met","Flood Flashers","271","25","263","33","1.03","10","6","62.5%","6","Gold","Level 4","1700","Rifler","","","","","",""
"Xyrren","Syzygy","240","35","282","37","0.85","9","9","50.0%","2","Gold","Level 4","1530","IGL","","","","","",""
"TokieShepherdVT","xPlosiv","431","51","384","65","1.12","17","9","65.4%","5","Diamond","Level 5","2355","Rifler","","","","","",""
"Cursiffe","xPlosiv","375","57","387","71","0.97","17","9","65.4%","5","Diamond","Level 5","2353","Rifler","","","","","",""
"tapiyokaaa","xPlosiv","331","41","283","56","1.17","13","6","68.4%","5","Diamond","Level 5","2171","Rifler","","","","","",""
"StrigidaeVT","xPlosiv","355","36","325","44","1.09","16","7","69.6%","5","Diamond","Level 5","2163","Rifler","","","","","",""
"88EXP","xPlosiv","328","30","285","42","1.15","13","6","68.4%","5","Emerald","Level 5","2013","IGL","","","","","",""
"MizukiiMoon","","679","68","646","90","1.05","26","18","59.1%","4","Champion","Level 6","2894","Rifler","","","","","",""
"Choya Hanabi","","550","65","577","86","0.95","25","14","64.1%","3","Grandmaster","Level 6","2835","Rifler","","","","","",""
"Karasu","","690","91","611","126","1.13","21","17","55.3%","12","High Master","Level 6","2792","Rifler","","","","","",""
"HakoP","","611","58","578","114","1.06","22","17","56.4%","4","High Master","Level 6","2763","IGL","","","","","",""
"Codiant","","439","58","339","76","1.29","18","10","64.3%","8","Master","Level 6","2531","Rifler","","","","","",""
"pastellows","","592","59","502","89","1.18","19","16","54.3%","6","Master","Level 5","2498","Rifler","","","","","",""
"obvMX","","620","66","575","85","1.08","20","17","54.1%","6","Master","Level 5","2489","Rifler","","","","","",""
"rebebx","","548","47","380","85","1.44","15","12","55.6%","0","Master","Level 5","2410","Rifler","","","","","",""
"kaikaijins","","441","44","383","55","1.15","19","12","61.3%","0","Master","Level 5","2356","Rifler","","","","","",""
"Sadgeboi","","557","66","423","73","1.32","16","12","57.1%","3","Diamond","Level 5","2344","IGL","","","","","",""
"xmeijixx","","441","67","399","67","1.11","17","10","63.0%","1","Diamond","Level 5","2343","IGL","","","","","",""
"emmabutnormal","","454","57","477","58","0.95","18","16","52.9%","4","Diamond","Level 5","2177","Awper","","","","","",""
"MKakili","","387","49","372","73","1.04","12","9","57.1%","11","Emerald","Level 5","2124","Rifler","","","","","",""
