"Player","Team","Kills","Assist","Deaths","MVP","KDR","Wins","Losses","Winrate","OT Participation","Rank","BPL Rank","Rank Rating","Role","","","","","","",""
"CGreyIce","ADMIN","1169","55","772","228","1.51","40","7","85.1%","12","Champion","Level 10","4733","Player","","","","","","",""
"mashirasu","ADMIN","528","8","151","94","3.50","14","0","100.0%","1","Grandmaster","Level 8","3852","Player","","","","Rating","Name","",""
"milkenut","0v3","291","34","228","52","1.28","15","1","93.8%","3","Grandmaster","Level 5","2493","Rifler","","","","0-499","Level 1","",""
"Eroxis","division20","260","36","198","43","1.31","11","3","78.6%","5","Grandmaster","Level 5","2127","Rifler","","","","500-999","Level 2","",""
"Navikuun","0v3","298","29","213","42","1.40","10","6","62.5%","1","High Master","Level 4","1938","Rifler","","","","1000-1499","Level 3","",""
"Tachibana Hinano","Astral Bloom","225","18","187","32","1.20","10","3","76.9%","0","High Master","Level 4","1880","Rifler","","","","1500-1999","Level 4","",""
"EXaCT","","189","17","155","34","1.22","7","3","70.0%","2","High Master","Level 4","1829","Rifler","","","","2000-2499","Level 5","",""
"Leveti","Setting Sun","219","19","182","37","1.20","7","4","63.6%","6","High Master","Level 4","1797","IGL","","","","2500-2999","Level 6","",""
"zuann_","KIEDZ","209","24","169","40","1.24","7","5","58.3%","3","Master","Level 4","1790","Rifler","","","","3000-3499","Level 7","",""
"Eris Suzukami","Astral Bloom","242","28","219","36","1.11","8","5","61.5%","3","Master","Level 4","1717","Rifler","","","","3500-3999","Level 8","",""
"Laburi","division20","213","17","167","28","1.28","8","4","66.7%","2","Master","Level 4","1698","IGL","","","","4000-4499","Level 9","",""
"zhiweiingg","Setting Sun","159","22","152","22","1.05","9","2","81.8%","","Master","Level 4","1681","Rifler","","","","4500+","Level 10","",""
"winda","Bloom E-Sports","208","17","191","39","1.09","6","6","50.0%","1","Master","Level 4","1619","IGL","","","","","","",""
"Nataleste","","167","18","159","30","1.05","6","4","60.0%","2","Master","Level 4","1588","Rifler","","","","","","",""
"Baer","Caelum Scala","256","28","261","43","0.98","7","8","46.7%","2","Master","Level 4","1573","IGL","","","","","","",""
"Remia Aotsuki","Astral Bloom","250","28","262","39","0.95","8","8","50.0%","5","Master","Level 4","1564","IGL","","","","","","",""
"Nikorasu","The Nomads","236","19","224","32","1.05","8","7","53.3%","3","Master","Level 4","1543","Rifler","","","","","","",""
"xolalotl","DiamondOnes","143","25","174","30","0.82","8","5","61.5%","3","Master","Level 4","1532","Awper","","","","","","",""
"JigglyPingu","","168","29","168","28","1.00","7","5","58.3%","6","Master","Level 4","1515","Rifler","","","","","","",""
"Spoods","division20","167","14","122","25","1.37","7","1","87.5%","2","Master","Level 4","1501","Rifler","","","","","","",""
"yinnzx","","181","21","147","22","1.23","6","4","60.0%","1","Master","Level 3","1491","Rifler","","","","","","",""
"ShizuyaUmiko","","173","13","130","25","1.33","6","3","66.7%","4","Master","Level 3","1490","IGL","","","","","","",""
"YoJareddo","The Gigarage","179","16","180","27","0.99","7","5","58.3%","6","Master","Level 3","1488","Rifler","","","","","","",""
"Tatsumaki Chise","","188","18","174","31","1.08","6","6","50.0%","1","Diamond","Level 3","1484","Rifler","","","","","","",""
"caarrietan","Aspire","194","32","209","26","0.93","7","5","58.3%","3","Diamond","Level 3","1456","Rifler","","","","","","",""
"Codiant","","199","23","191","24","1.04","7","5","58.3%","5","Diamond","Level 3","1456","Rifler","","","","","","",""
"OchakoKiyomi","Technomancy","173","24","143","23","1.21","6","5","54.5%","2","Diamond","Level 3","1449","Rifler","","","","","","",""
"Jenakai","","130","15","133","17","0.98","7","3","70.0%","1","Diamond","Level 3","1409","Awper","","","","","","",""
"TortillaRoll","5PERCENT","217","34","231","34","0.94","7","9","43.8%","0","Diamond","Level 3","1407","Rifler","","","","","","",""
"Illus","KIEDZ","149","15","150","21","0.99","6","4","60.0%","3","Diamond","Level 3","1388","IGL","","","","","","",""
"tiger.lark","","134","30","152","17","0.88","7","3","70.0%","3","Diamond","Level 3","1387","Rifler","","","","","","",""
"[Idiot] AngelCrutcher","Aimpunch","136","10","107","25","1.27","6","2","75.0%","1","Diamond","Level 3","1383","Fill","","","","","","",""
"daifuku.wu","Round Loss Bonus","146","14","134","19","1.09","6","4","60.0%","0","Diamond","Level 3","1381","Rifler","","","","","","",""
"CrimsynFlames","Aeternum","133","24","133","24","1.00","6","3","66.7%","1","Diamond","Level 3","1379","Rifler","","","","","","",""
"nyxcatto","","198","20","198","32","1.00","5","7","41.7%","3","Diamond","Level 3","1374","Rifler","","","","","","",""
"Ice","Neverland","266","21","284","42","0.94","6","11","35.3%","3","Diamond","Level 3","1367","Rifler","","","","","","",""
"Xrela","entity","157","16","143","23","1.10","5","5","50.0%","1","Diamond","Level 3","1359","Rifler","","","","","","",""
"carv","Technomancy","185","22","205","26","0.90","6","6","50.0%","4","Diamond","Level 3","1342","Awper","","","","","","",""
"Acryii_","Ukiyo","157","13","123","23","1.28","5","4","55.6%","1","Diamond","Level 3","1337","Rifler","","","","","","",""
"arcimoon","","158","28","187","20","0.84","6","4","60.0%","6","Diamond","Level 3","1325","Awper","","","","","","",""
"stitchkyui","","184","25","203","25","0.91","6","7","46.2%","3","Diamond","Level 3","1285","Rifler","","","","","","",""
"NipNip","Aetherline","185","22","203","30","0.91","5","8","38.5%","4","Diamond","Level 3","1264","IGL","","","","","","",""
"lenette","Caelum Scala","130","17","125","19","1.04","6","2","75.0%","3","Diamond","Level 3","1206","Awper","","","","","","",""
"siddnely","Infernum E-Sports","166","30","142","26","1.17","4","4","50.0%","4","Diamond","Level 3","1206","IGL","","","","","","",""
"kael","Ukiyo","190","12","218","21","0.87","6","7","46.2%","5","Diamond","Level 3","1205","Awper","","","","","","",""
"dumbo","5PERCENT","178","20","165","20","1.08","5","7","41.7%","1","Diamond","Level 3","1202","IGL","","","","","","",""
"treblest","Raven Song","112","12","118","15","0.95","7","1","87.5%","","Emerald","Level 3","1189","Awper","","","","","","",""
"Resent","Neverland","143","23","133","21","1.08","4","5","44.4%","2","Emerald","Level 3","1146","IGL","","","","","","",""
"perk","Aeternum","130","4","131","21","0.99","5","3","62.5%","4","Emerald","Level 3","1135","Awper","","","","","","",""
"rebellioniite","Artisian","165","29","192","23","0.86","4","7","36.4%","3","Emerald","Level 3","1127","Rifler","","","","","","",""
"Joshiwahhh","Unforgettable","156","23","208","22","0.75","5","7","41.7%","3","Emerald","Level 3","1126","Awper","","","","","","",""
"candybar_isblue","","165","23","158","25","1.04","3","6","33.3%","4","Emerald","Level 3","1116","Rifler","","","","","","",""
"Pearlim","0v3","133","18","145","10","0.92","6","5","54.5%","1","Emerald","Level 3","1111","Awper","","","","","","",""
"Sheep","99Lives","110","14","103","18","1.07","5","3","62.5%","0","Emerald","Level 3","1103","Awper","","","","","","",""
"Vyphogrid","","153","18","137","18","1.12","4","5","44.4%","7","Emerald","Level 3","1094","IGL","","","","","","",""
"rc_ia","Setting Sun","111","18","91","15","1.22","6","1","85.7%","1","Emerald","Level 3","1091","Awper","","","","","","",""
"ItzMaigo","","165","16","166","24","0.99","3","6","33.3%","9","Emerald","Level 3","1077","Rifler","","","","","","",""
"GoddessAkane","Moonlit Tempo","146","16","165","17","0.88","4","6","40.0%","2","Emerald","Level 3","1062","Awper","","","","","","",""
"Kyu","","157","16","143","20","1.10","4","4","50.0%","5","Emerald","Level 3","1059","IGL","","","","","","",""
"l1feless","Bluebird","198","24","224","20","0.88","5","10","33.3%","3","Emerald","Level 3","1045","Awper","","","","","","",""
"rittan0x0","","130","20","132","22","0.98","3","6","33.3%","1","Emerald","Level 3","1039","Rifler","","","","","","",""
"VanixEvans","degree","120","11","114","15","1.05","5","3","62.5%","1","Emerald","Level 3","1036","IGL","","","","","","",""
"Applezxc","Aeternum","130","20","154","19","0.84","4","5","44.4%","2","Emerald","Level 3","1033","Fill","","","","","","",""
"Jasticar","","117","8","104","17","1.13","5","2","71.4%","3","Emerald","Level 3","1018","Rifler","","","","","","",""
"Sadgeboi","","110","7","107","18","1.03","5","2","71.4%","3","Emerald","Level 3","1015","IGL","","","","","","",""
"ebi","Raven Song","107","14","80","18","1.34","5","1","83.3%","1","Emerald","Level 3","1011","IGL","","","","","","",""
"plainyingying","Bloom E-Sports","126","12","108","16","1.17","5","2","71.4%","3","Emerald","Level 3","1010","Rifler","","","","","","",""
"nicsman","Technomancy","156","17","139","17","1.12","4","4","50.0%","5","Emerald","Level 3","1007","Rifler","","","","","","",""
"y1jingg","99Lives","123","7","120","14","1.03","5","3","62.5%","3","Emerald","Level 3","1006","IGL","","","","","","",""
"yerm","entity","144","11","141","20","1.02","3","6","33.3%","3","Emerald","Level 3","1003","Awper","","","","","","",""
"YinghuVT","","120","21","116","16","1.03","5","2","71.4%","2","Emerald","Level 2","985","Rifler","","","","","","",""
"capplecrow","Sacred Raven","154","16","137","27","1.12","1","8","11.1%","2","Emerald","Level 2","982","IGL","","","","","","",""
"azzuto","Cosmos","121","15","101","21","1.20","4","2","66.7%","4","Emerald","Level 2","967","Rifler","","","","","","",""
"Spinafex","","130","12","146","20","0.89","3","6","33.3%","2","Emerald","Level 2","965","Rifler","","","","","","",""
"Kuro_mi","Opal","129","7","130","21","0.99","3","5","37.5%","0","Emerald","Level 2","956","Rifler","","","","","","",""
"thehidz","","113","22","125","16","0.90","5","2","71.4%","3","Emerald","Level 2","954","Rifler","","","","","","",""
"Kisaragi Ren","5PERCENT","102","10","77","19","1.32","4","2","66.7%","0","Platinum","Level 2","950","Rifler","","","","","","",""
"lumi.nyaa","Opal","126","18","130","19","0.97","4","3","57.1%","2","Platinum","Level 2","944","Rifler","","","","","","",""
"Hyvred","","126","22","170","16","0.74","4","5","44.4%","5","Platinum","Level 2","942","Rifler","","","","","","",""
"mominichi","The Nomads","123","21","122","19","1.01","3","5","37.5%","1","Platinum","Level 2","931","Rifler","","","","","","",""
"swoopsy","","97","14","108","15","0.90","5","2","71.4%","3","Platinum","Level 2","930","Awper","","","","","","",""
"KTenshi","Artisian","161","12","141","22","1.14","2","6","25.0%","2","Platinum","Level 2","929","Rifler","","","","","","",""
"ehsten","PepegaX","97","14","105","11","0.92","5","3","62.5%","1","Platinum","Level 2","925","Rifler","","","","","","",""
"beyouna","Bluebird","118","12","93","14","1.27","4","3","57.1%","0","Platinum","Level 2","913","Rifler","","","","","","",""
"Solec","Divide&Conquer","111","17","104","16","1.07","4","3","57.1%","1","Platinum","Level 2","909","IGL","","","","","","",""
"rebebx","","133","21","143","21","0.93","2","7","22.2%","4","Platinum","Level 2","905","Rifler","","","","","","",""
"UtsuhoNull","","123","11","100","18","1.23","3","4","42.9%","0","Platinum","Level 2","900","Rifler","","","","","","",""
"leachubby","","105","24","94","18","1.12","4","2","66.7%","1","Platinum","Level 2","897","IGL","","","","","","",""
"notccillia","DiamondOnes","139","18","128","18","1.09","4","2","66.7%","9","Platinum","Level 2","884","IGL","","","","","","",""
"AltheaVT","degree","109","15","101","17","1.08","3","4","42.9%","2","Platinum","Level 2","848","Awper","","","","","","",""
"AkanersVT","","91","10","87","10","1.05","4","4","50.0%","2","Platinum","Level 2","846","Rifler","","","","","","",""
"kanarivt","","96","13","117","13","0.82","4","4","50.0%","0","Platinum","Level 2","846","Rifler","","","","","","",""
"Hakase","Fruit Basket","113","16","106","17","1.07","3","4","42.9%","1","Platinum","Level 2","845","IGL","","","","","","",""
"Astro_Ruckus","New Jade","114","14","100","16","1.14","3","4","42.9%","2","Platinum","Level 2","841","Rifler","","","","","","",""
"skysbeautylai","Sacred Raven","125","28","124","17","1.01","3","4","42.9%","2","Platinum","Level 2","837","Rifler","","","","","","",""
"kaikaijins","","135","19","136","10","0.99","4","4","50.0%","4","Platinum","Level 2","834","Rifler","","","","","","",""
"CRex","Raven Song","126","21","142","18","0.89","2","7","22.2%","1","Platinum","Level 2","833","Rifler","","","","","","",""
"okjustsmd","","130","18","133","14","0.98","3","5","37.5%","3","Platinum","Level 2","819","IGL","","","","","","",""
"Skyllabtw","Artisian","96","11","101","17","0.95","3","4","42.9%","0","Platinum","Level 2","815","Rifler","","","","","","",""
"Luneforrune","","102","16","105","12","0.97","4","3","57.1%","2","Platinum","Level 2","806","Rifler","","","","","","",""
"djsalty_","","119","10","135","17","0.88","2","7","22.2%","","Platinum","Level 2","804","Awper","","","","","","",""
"sneakyyyyy","Cosmos","122","17","108","17","1.13","3","3","50.0%","5","Platinum","Level 2","799","Rifler","","","","","","",""
"Dirfun","Infernum E-Sports","83","12","95","12","0.87","5","1","83.3%","0","Platinum","Level 2","796","Rifler","","","","","","",""
"NekoSoji","Alcheministry","84","10","90","15","0.93","4","2","66.7%","2","Platinum","Level 2","792","Awper","","","","","","",""
"lumpydayo","Bloom E-Sports","90","10","88","14","1.02","4","2","66.7%","1","Platinum","Level 2","790","Rifler","","","","","","",""
"Nightveil Lycoris","","161","22","171","22","0.94","1","7","12.5%","9","Platinum","Level 2","789","IGL","","","","","","",""
"Efreetsz","Aetherline","99","10","119","13","0.83","4","3","57.1%","4","Platinum","Level 2","788","Rifler","","","","","","",""
"airawwr","degree","97","25","86","16","1.13","3","3","50.0%","","Platinum","Level 2","787","Rifler","","","","","","",""
"Riko Solari","","90","8","65","14","1.38","4","1","80.0%","0","Platinum","Level 2","785","Rifler","","","","","","",""
"Ichinose Uruha","","111","10","101","13","1.10","4","2","66.7%","2","Platinum","Level 2","784","Rifler","","","","","","",""
"Ayano","ADMIN","92","5","45","21","2.04","3","0","100.0%","","Platinum","Level 2","783","Player","","","","","","",""
"Nyuii","Caelum Scala","92","11","94","14","0.98","4","2","66.7%","2","Platinum","Level 2","781","Rifler","","","","","","",""
"NOTORIOUS47","","84","12","90","7","0.93","5","2","71.4%","2","Platinum","Level 2","778","Awper","","","","","","",""
"sURF","","75","9","53","13","1.42","4","1","80.0%","0","Platinum","Level 2","772","IGL","","","","","","",""
"EviKuroneko","Alcheministry","89","24","83","12","1.07","4","2","66.7%","1","Platinum","Level 2","771","Rifler","","","","","","",""
"Komori Met","","98","11","89","16","1.10","3","3","50.0%","0","Platinum","Level 2","771","Rifler","","","","","","",""
"awtoh","Aetherline","116","13","106","16","1.09","3","3","50.0%","3","Platinum","Level 2","769","Rifler","","","","","","",""
