"Player","Team","Kills","Assist","Deaths","MVP","KDR","Wins","Losses","Winrate","OT Participation","Rank","BPL Rank","Rank Rating","Role","","","","","","Legend","Role Legend",""
"Navikuun","0v3","242","34","212","43","1.14","7","8","46.7%","0","Silver","Level 4","1632","Rifler","","","","","","< 1 Year","Rifler",""
"zenn1sm","0v3","227","64","252","38","0.90","5","11","31.3%","0","Bronze","Level 3","1268","IGL","","","","","","> 1 Year","Awper",""
"potatodepresso","0v3","236","44","252","34","0.94","5","11","31.3%","0","Iron","Level 3","1221","Rifler","","","","","","> 2 Year","Fill",""
"Pearlim","0v3","245","44","251","30","0.98","5","11","31.3%","0","Iron","Level 3","1184","Awper","","","","","","","IGL",""
"milkenut","0v3","195","34","249","24","0.78","5","11","31.3%","0","Iron","Level 3","1042","Rifler","","","","","","","",""
"Solaonix","5PERCENT","410","41","319","60","1.29","15","8","65.2%","2","Diamond","Level 5","2280","Rifler","","","","","","","Rating","Name"
"dumbo","5PERCENT","133","8","132","24","1.01","5","4","55.6%","2","Bronze","Level 3","1272","IGL","","","","","","","0-499","Level 1"
"TortillaRoll","5PERCENT","149","20","133","21","1.12","5","4","55.6%","2","Iron","Level 3","1254","Rifler","","","","","","","500-999","Level 2"
"Kisaragi Ren","5PERCENT","140","16","124","20","1.13","5","4","55.6%","2","Iron","Level 3","1235","Rifler","","","","","","","1000-1499","Level 3"
"AngelxAim","5PERCENT","109","20","139","17","0.78","5","4","55.6%","2","Iron","Level 3","1074","Awper","","","","","","","1500-1999","Level 4"
"Sheep","99Lives","336","64","314","55","1.07","12","9","57.1%","0","Platinum","Level 4","1970","Awper","","","","","","","2000-2499","Level 5"
"y1jingg","99Lives","373","79","323","49","1.15","12","9","57.1%","0","Platinum","Level 4","1945","IGL","","","","","","","2500-2999","Level 6"
"minMaXXer","99Lives","317","81","318","44","1.00","12","9","57.1%","0","Gold","Level 4","1846","Rifler","","","","","","","3000-3499","Level 7"
"m0wmeow","99Lives","303","87","344","47","0.88","12","9","57.1%","0","Gold","Level 4","1836","Rifler","","","","","","","3500-3999","Level 8"
"BluBEAR","99Lives","330","71","335","41","0.99","12","9","57.1%","0","Gold","Level 4","1809","Awper","","","","","","","4000-4499","Level 9"
"Marsinss","Aeternum","308","57","289","47","1.07","10","8","55.6%","0","Gold","Level 4","1811","Awper","","","","","","","4500+","Level 10"
"Applezxc","Aeternum","286","53","273","43","1.05","10","8","55.6%","0","Gold","Level 4","1761","Fill","","","","","","","",""
"CrimsynFlames","Aeternum","315","58","311","44","1.01","10","8","55.6%","0","Gold","Level 4","1759","Rifler","","","","","","","",""
"Suzuyunn","Aeternum","289","61","306","38","0.94","10","8","55.6%","0","Silver","Level 4","1671","IGL","","","","","","","",""
"drip","Aeternum","295","62","305","35","0.97","10","8","55.6%","0","Silver","Level 4","1646","Awper","","","","","","","",""
"NipNip","Aetherline","522","82","465","95","1.12","21","12","63.6%","0","Champion","Level 6","2731","IGL","","","","","","","",""
"EfreetsZ","Aetherline","564","55","478","84","1.18","21","12","63.6%","0","Grandmaster","Level 6","2676","Rifler","","","","","","","",""
"Anndreika","Aetherline","519","67","482","69","1.08","21","12","63.6%","0","High Master","Level 6","2554","Rifler","","","","","","","",""
"awtoh","Aetherline","484","64","491","64","0.99","21","12","63.6%","0","Master","Level 5","2493","Rifler","","","","","","","",""
"BaBaYaGa","Aetherline","437","61","476","63","0.92","21","12","63.6%","0","Master","Level 5","2464","Awper","","","","","","","",""
"Chiai Fujikawa","Aimpunch","403","81","358","61","1.13","15","10","60.0%","1","Diamond","Level 5","2188","IGL","","","","","","","",""
"Sketch","Aimpunch","355","56","348","63","1.02","15","10","60.0%","1","Diamond","Level 5","2163","Rifler","","","","","","","",""
"balililmao","Aimpunch","354","73","352","50","1.01","15","10","60.0%","1","Emerald","Level 5","2059","Rifler","","","","","","","",""
"[Idiot] AngelCrutcher","Aimpunch","333","76","353","44","0.94","15","10","60.0%","1","Emerald","Level 4","1991","Fill","","","","","","","",""
"mond33__","Aimpunch","316","72","368","41","0.86","15","10","60.0%","1","Platinum","Level 4","1937","Awper","","","","","","","",""
"tanykeat","Alcheministry","338","77","299","54","1.13","10","9","52.6%","5","Platinum","Level 4","1876","IGL","","","","","","","",""
"d.chong","Alcheministry","316","60","302","57","1.05","10","9","52.6%","5","Platinum","Level 4","1874","Rifler","","","","","","","",""
"hikopiko_","Alcheministry","313","44","287","37","1.09","10","9","52.6%","5","Silver","Level 4","1673","Awper","","","","","","","",""
"EviKuroneko","Alcheministry","293","54","309","37","0.95","10","9","52.6%","5","Silver","Level 4","1629","Rifler","","","","","","","",""
"NekoSoji","Alcheministry","256","59","302","33","0.85","10","9","52.6%","5","Silver","Level 4","1556","Awper","","","","","","","",""
"SanCtuary","Artisian","505","110","436","90","1.16","15","12","55.6%","1","Master","Level 5","2367","IGL","","","","","","","",""
"rebellioniite","Artisian","449","95","449","67","1.00","15","12","55.6%","1","Emerald","Level 5","2140","Rifler","","","","","","","",""
"Skyllabtw","Artisian","480","84","433","57","1.11","15","12","55.6%","1","Emerald","Level 5","2100","Rifler","","","","","","","",""
"Yixl","Artisian","436","67","434","60","1.00","15","12","55.6%","1","Emerald","Level 5","2084","Awper","","","","","","","",""
"KTenshi","Artisian","457","98","435","56","1.05","15","12","55.6%","1","Emerald","Level 5","2077","Rifler","","","","","","","",""
"TuxedoCat","Aspire","284","58","277","42","1.03","7","12","36.8%","0","Bronze","Level 3","1438","Rifler","","","","","","","",""
"Hanarisu","Aspire","285","55","301","46","0.95","7","12","36.8%","0","Bronze","Level 3","1451","IGL","","","","","","","",""
"Moira","Aspire","275","55","295","41","0.93","7","12","36.8%","0","Bronze","Level 3","1394","Rifler","","","","","","","",""
"caarrietan","Aspire","271","71","282","32","0.96","7","12","36.8%","0","Bronze","Level 3","1316","Rifler","","","","","","","",""
"Stylus","Aspire","219","57","287","21","0.76","7","12","36.8%","0","Iron","Level 3","1129","Awper","","","","","","","",""
"Tachibana Hinano","Astral Bloom","325","40","287","47","1.13","6","12","33.3%","0","Bronze","Level 3","1461","Rifler","","","","","","","",""
"Shiranami Ramune","Astral Bloom","291","50","294","42","0.99","6","12","33.3%","0","Bronze","Level 3","1361","Awper","","","","","","","",""
"Remia Aotsuki","Astral Bloom","300","68","296","38","1.01","6","12","33.3%","0","Bronze","Level 3","1331","IGL","","","","","","","",""
"Tsumugi Kokage","Astral Bloom","291","70","307","34","0.95","6","12","33.3%","0","Bronze","Level 3","1265","Rifler","","","","","","","",""
"Eris Suzukami","Astral Bloom","214","33","179","23","1.20","5","8","38.5%","0","Iron","Level 3","1258","Rifler","","","","","","","",""
"plainyingying","BLOOM E-Sports","449","80","399","61","1.13","12","12","50.0%","2","Platinum","Level 4","1951","Rifler","","","","","","","",""
"fleurcoz","BLOOM E-Sports","392","79","411","57","0.95","13","11","54.2%","2","Platinum","Level 4","1947","Rifler","","","","","","","",""
"winda","BLOOM E-Sports","379","70","397","59","0.95","12","12","50.0%","2","Platinum","Level 4","1875","IGL","","","","","","","",""
"lumpydayo","BLOOM E-Sports","399","91","406","54","0.98","12","12","50.0%","2","Gold","Level 4","1848","Rifler","","","","","","","",""
"VeniceC","BLOOM E-Sports","377","81","408","37","0.92","12","12","50.0%","2","Gold","Level 4","1684","Rifler","","","","","","","",""
"beyouna","Bluebird","355","75","324","51","1.10","9","11","45.0%","0","Gold","Level 4","1706","Rifler","","","","","","","",""
"Nutzeru","Bluebird","383","76","313","45","1.22","9","11","45.0%","0","Gold","Level 4","1689","Rifler","","","","","","","",""
"AppleOrangePear","Bluebird","329","55","328","50","1.00","9","11","45.0%","0","Silver","Level 4","1659","Rifler","","","","","","","",""
"l1feless","Bluebird","288","65","312","48","0.92","9","11","45.0%","0","Silver","Level 4","1616","Awper","","","","","","","",""
"Volatus","Bluebird","310","66","333","41","0.93","9","11","45.0%","0","Silver","Level 4","1548","IGL","","","","","","","",""
"lenette","Caelum Scala","374","68","343","60","1.09","11","15","42.3%","0","Gold","Level 4","1794","Awper","","","","","","","",""
"Nyuii","Caelum Scala","360","103","359","59","1.00","11","15","42.3%","0","Gold","Level 4","1767","Rifler","","","","","","","",""
"Baer","Caelum Scala","325","91","346","51","0.94","11","15","42.3%","0","Gold","Level 4","1682","IGL","","","","","","","",""
"4_naru","Caelum Scala","316","76","362","41","0.87","11","15","42.3%","0","Silver","Level 4","1577","Awper","","","","","","","",""
"kyyltn","Caelum Scala","332","90","374","41","0.89","11","15","42.3%","0","Silver","Level 4","1586","Rifler","","","","","","","",""
"sneakyyyyy","Cosmos","485","83","387","75","1.25","19","9","67.9%","0","Grandmaster","Level 6","2600","Rifler","","","","","","","",""
"inaxho","Cosmos","435","69","409","75","1.06","19","9","67.9%","0","High Master","Level 6","2533","IGL","","","","","","","",""
"azzuto","Cosmos","445","61","389","58","1.14","19","9","67.9%","0","Master","Level 5","2437","Rifler","","","","","","","",""
"kokushi_vampir","Cosmos","407","87","411","55","0.99","19","9","67.9%","0","Master","Level 5","2370","Rifler","","","","","","","",""
"DelphoxLuna","Cosmos","194","16","180","28","1.08","8","5","61.5%","0","Silver","Level 4","1580","Rifler","","","","","","","",""
"Ziweiv","Cyanide","351","70","362","54","0.97","7","14","33.3%","4","Bronze","Level 3","1480","Fill","","","","","","","",""
"Soozy","Cyanide","350","66","367","47","0.95","7","14","33.3%","4","Bronze","Level 3","1406","IGL","","","","","","","",""
"heavenweeps","Cyanide","323","42","330","43","0.98","7","14","33.3%","4","Bronze","Level 3","1371","Awper","","","","","","","",""
"miorine","Cyanide","285","54","345","45","0.83","7","14","33.3%","4","Bronze","Level 3","1343","Awper","","","","","","","",""
"Decrease","Cyanide","319","67","359","30","0.89","7","14","33.3%","4","Iron","Level 3","1224","Rifler","","","","","","","",""
"AltheaVT","degree","335","62","384","45","0.87","17","10","63.0%","0","Emerald","Level 5","2102","Awper","","","","","","","",""
"Zoweya","degree","334","56","304","48","1.10","11","10","52.4%","0","Gold","Level 4","1821","Rifler","","","","","","","",""
