"Pro Team Name","2022","2023","2024","2025","","Pro Team Name","2022","2023","2025","2026","","Pro Team Name","2022","2023"
"0v3","No","Yes","No","No","","0v3","No","No","No","No","","0v3","No","Yes"
"5PERCENT","No","No","No","No","","5PERCENT","No","No","No","No","","5PERCENT","No","No"
"99Lives","No","No","Yes","No","","99Lives","No","No","No","No","","99Lives","No","Yes"
"Aeternum","Yes","No","No","Yes","","Aeternum","No","No","No","No","","Aeternum","Yes","No"
"Aetherline","No","No","No","Yes","","Aetherline","No","No","No","Yes","","Aetherline","No","No"
"Aimpunch","Yes","Won","Yes","No","","Aimpunch","Won","Won","No","Yes","","Aimpunch","Yes","Won"
"Alcheministry","No","No","Yes","Yes","","Alcheministry","No","No","No","No","","Alcheministry","No","Yes"
"Artisian","Yes","Yes","Yes","Yes","","Artisian","Yes","No","Yes","No","","Artisian","No","Yes"
"Aspire","No","No","Yes","No","","Aspire","No","No","No","No","","Aspire","No","No"
"Astral Bloom","No","No","No","No","","Astral Bloom","No","No","No","No","","Astral Bloom","No","No"
"Bloom E-Sports","No","No","Yes","No","","Bloom E-Sports","No","No","No","Yes","","Bloom E-Sports","No","No"
"Bluebird","Yes","Yes","Yes","Yes","","Bluebird","Yes","Yes","No","No","","Bluebird","No","Yes"
"Caelum Scala","No","No","No","Yes","","Caelum Scala","No","No","Yes","No","","Caelum Scala","No","No"
"Cosmos","No","No","Yes","Won","","Cosmos","No","No","No","No","","Cosmos","No","No"
"Cyanide","Yes","No","No","No","","Cyanide","Yes","No","No","No","","Cyanide","No","No"
"degree","No","Yes","Yes","No","","degree","No","No","No","No","","degree","No","Yes"
"DiamondOnes","No","Yes","Yes","No","","DiamondOnes","No","No","Yes","No","","DiamondOnes","No","Yes"
"Divide&Conquer","Yes","Yes","Yes","No","","Divide&Conquer","Yes","Yes","Yes","No","","Divide&Conquer","Yes","Yes"
"division20","No","No","No","Yes","","division20","No","No","Yes","No","","division20","No","No"
"entity","No","No","Yes","Yes","","entity","No","No","No","No","","entity","No","No"
"Flood Flashers","No","No","No","No","","Flood Flashers","No","No","No","Yes","","Flood Flashers","No","No"
"Fruit Basket","Yes","Yes","No","No","","Fruit Basket","No","Yes","No","No","","Fruit Basket","Yes","Yes"
"Infernum E-Sports","Won","Yes","Yes","No","","Infernum E-Sports","No","Yes","No","No","","Infernum E-Sports","Yes","Yes"
"Kiedz","Yes","No","Yes","No","","Kiedz","No","No","Yes","No","","Kiedz","Yes","Yes"
"Lemon Tree","Yes","Yes","Won","No","","Lemon Tree","No","No","No","No","","Lemon Tree","Won","Yes"
"Masmark","No","Yes","Yes","Yes","","Masmark","No","No","Yes","No","","Masmark","No","No"
"Moonlit Tempo","No","No","No","Yes","","Moonlit Tempo","No","No","No","No","","Moonlit Tempo","No","No"
"Neverland","Yes","Yes","Yes","No","","Neverland","Yes","Yes","No","No","","Neverland","Yes","No"
"New Jade","Yes","Yes","Yes","Yes","","New Jade","No","No","No","No","","New Jade","No","No"
"Opal","Yes","Yes","No","No","","Opal","Yes","Yes","No","No","","Opal","Yes","Yes"
"PepegaX","No","Yes","No","No","","PepegaX","No","No","Won","No","","PepegaX","No","No"
"Raven Song","No","Yes","No","No","","Raven Song","No","No","No","No","","Raven Song","Yes","No"
"Round Loss Bonus","No","No","No","Yes","","Round Loss Bonus","No","No","No","No","","Round Loss Bonus","No","No"
"Sacred Raven","No","Yes","No","No","","Sacred Raven","No","No","No","No","","Sacred Raven","No","No"
"Setting Sun","Yes","No","Yes","No","","Setting Sun","No","No","Yes","No","","Setting Sun","Yes","No"
"Team Neverseen","Yes","No","Yes","No","","Team Neverseen","Yes","No","Yes","No","","Team Neverseen","No","Yes"
"Technomancy","No","No","Yes","Yes","","Technomancy","No","No","No","No","","Technomancy","No","No"
"The Gigarage","No","Yes","No","Yes","","The Gigarage","No","No","Yes","No","","The Gigarage","No","No"
"The Nomads","No","No","Yes","Yes","","The Nomads","No","No","No","No","","The Nomads","No","No"
"Ukiyo","No","Yes","Yes","No","","Ukiyo","No","Yes","No","No","","Ukiyo","No","No"
"Unforgettable","Yes","Yes","Yes","No","","Unforgettable","No","No","Yes","No","","Unforgettable","No","Yes"
"xPlosiv","No","No","No","No","","xPlosiv","No","No","No","No","","xPlosiv","No","No"
