Name,Team,Pool,Rating,Titles,Gender (M/F/NB - fill in)
Sketch,Aimpunch,pro,0.989,6,
[Idiot] AngelCrutcher,Aimpunch,pro,0.933,6,
mond33__,Aimpunch,pro,0.889,6,
Chiai Fujikawa,Aimpunch,pro,1.072,4,
balililmao,Aimpunch,pro,0.976,4,
VPLH,New Jade,pro,1.142,2,
xmeijixx,,amateur,1.136,2,
SashimiGoesBloop,Moonlit Tempo,pro,1.091,2,
Historia,Infernum E-Sports,pro,1.084,2,
ostc.x,,amateur,1.08,2,
skysbeautylai,Sacred Raven,pro,1.047,2,
simply_perezoso,Neverland,pro,1.044,2,
jenapoppins,New Jade,pro,1.025,2,
luminichi,Lemon Tree,pro,0.984,2,
Meowcolmz,Lemon Tree,pro,0.971,2,
Resent,Neverland,pro,0.968,2,
siddnely,Infernum E-Sports,pro,0.962,2,
chiyoriinn,Infernum E-Sports,pro,0.958,2,
Dirfun,Infernum E-Sports,pro,0.955,2,
MoonRaika,Lemon Tree,pro,0.943,2,
yuuki_PS,PepegaX,pro,0.939,2,
Astro_Ruckus,New Jade,pro,0.933,2,
JWQI,Lemon Tree,pro,0.926,2,
kkayyteeee,Lemon Tree,pro,0.926,2,
adrina.ii,Neverland,pro,0.923,2,
Jeribean,New Jade,pro,0.917,2,
crazywhoopies,New Jade,pro,0.824,2,
SanCtuary,Artisian,pro,1.151,1,
sneakyyyyy,Cosmos,pro,1.14,1,
tanykeat,Alcheministry,pro,1.123,1,
Solaonix,5PERCENT,pro,1.118,1,
tapiyokaaa,xPlosiv,pro,1.116,1,
cassiopeiarawr,Flood Flashers,pro,1.107,1,
capplecrow,Sacred Raven,pro,1.106,1,
Illus,Kiedz,pro,1.1,1,
Elfy Mint,Kiedz,pro,1.095,1,
TokieShepherdVT,xPlosiv,pro,1.073,1,
jaelyo,Setting Sun,pro,1.072,1,
Celtsm,Moonlit Tempo,pro,1.071,1,
chreyll,Divide&Conquer,pro,1.071,1,
d.chong,Alcheministry,pro,1.071,1,
yumezukiyomi,,amateur,1.064,1,
zhizyii,,amateur,1.063,1,
Nifela,PepegaX,pro,1.06,1,
Cursiffe,xPlosiv,pro,1.059,1,
gigichiii_,The Gigarage,pro,1.058,1,
rebellioniite,Artisian,pro,1.055,1,
Skyllabtw,Artisian,pro,1.053,1,
CrimsynFlames,Aeternum,pro,1.048,1,
