"Pro Team Name","Map Wins","Map Losses","Map Ties","Total Maps","Win-Loss Ratio","A-Tier Wins","S-Tier Wins","Major Wins","Major Playoffs","Events Played","Podiums (1-3)","Major Podiums","BPL Rank Points","",""
"Aimpunch","93","43","1","137","68.4%","1","5","1","3","16","8","1","2036","","note-> rank gain"
"Infernum E-Sports","63","45","0","108","58.3%","1","1","1","3","14","3","2","1309","",""
"Lemon Tree","43","43","0","86","50.0%","0","2","1","3","14","2","1","1015","",""
"Artisian","54","40","1","95","57.4%","0","1","0","4","14","2","1","960","",""
"Opal","60","48","2","110","55.6%","0","0","0","2","13","5","1","955","",""
"Unforgettable","65","60","2","127","52.0%","2","0","0","3","21","4","0","928","",""
"Neverland","56","48","3","107","53.8%","1","1","0","3","16","3","0","884","",""
"Divide&Conquer","61","43","2","106","58.7%","1","0","0","3","14","3","0","877","",""
"Bluebird","47","43","3","93","52.2%","0","0","0","4","14","2","1","807","",""
"Kiedz","48","47","4","99","50.5%","1","0","0","2","14","3","1","789","",""
"The Gigarage","33","21","2","56","61.1%","0","1","0","2","9","2","1","761","",""
"New Jade","40","36","1","77","52.6%","0","1","0","4","14","2","0","746","",""
"Cosmos","24","14","0","38","63.2%","0","0","1","2","6","1","1","739","",""
"degree","40","30","4","74","57.1%","0","0","0","2","11","2","1","705","",""
"Setting Sun","46","36","2","84","56.1%","1","0","0","2","15","2","0","670","",""
"0v3","39","33","1","73","54.2%","1","0","0","1","11","3","0","617","",""
"99Lives","24","13","0","37","64.9%","0","0","0","1","6","2","1","598","",""
"The Nomads","34","27","0","61","55.7%","1","0","0","2","10","2","0","598","",""
"Masmark","31","25","0","56","55.4%","0","0","0","3","9","2","0","589","",""
"Aetherline","21","13","0","34","61.8%","0","0","0","1","3","2","1","564","",""
"entity","21","10","0","31","67.7%","0","0","0","2","6","2","0","541","",""
"Ukiyo","36","36","0","72","50.0%","0","0","0","2","10","2","0","530","",""
"Alcheministry","22","16","0","38","57.9%","0","1","0","2","5","1","0","527","",""
"Aeternum","32","37","2","71","46.4%","1","0","0","2","13","1","0","476","",""
"DiamondOnes","30","26","0","56","53.6%","0","0","0","2","10","1","0","473","",""
"Cyanide","36","43","1","80","45.6%","0","1","0","1","13","1","0","472","",""
"Fruit Basket","37","52","2","91","41.6%","1","0","0","2","16","1","0","457","",""
"Sacred Raven","21","19","0","40","52.5%","0","1","0","1","9","1","0","444","",""
"Flood Flashers","17","5","0","22","77.3%","1","0","0","0","2","1","0","443","",""
"PepegaX","24","25","2","51","49.0%","0","1","0","1","9","1","0","441","",""
"Aspire","18","15","0","33","54.5%","0","1","0","1","7","1","0","438","",""
"xPlosiv","12","2","0","14","85.7%","1","0","0","0","2","1","0","437","",""
"Team Neverseen","38","39","0","77","49.4%","0","0","0","2","13","0","0","435","",""
"Moonlit Tempo","14","10","0","24","58.3%","0","1","0","1","3","1","0","432","",""
"Technomancy","18","15","0","33","54.5%","0","0","0","2","7","1","0","413","",""
"Caelum Scala","23","25","0","48","47.9%","1","0","0","1","8","1","0","393","",""
"5PERCENT","16","9","0","25","64.0%","1","0","0","0","2","1","0","383","",""
"Bloom E-Sports","22","19","0","41","53.7%","0","0","0","1","7","0","0","330","",""
"Round Loss Bonus","16","13","0","29","55.2%","0","0","0","1","3","0","0","305","",""
"Raven Song","24","37","2","63","39.3%","0","0","0","1","14","0","0","251","",""
"division20","14","20","0","34","41.2%","0","0","0","1","7","0","0","226","",""
"Astral Bloom","4","10","0","14","28.6%","0","0","0","0","3","0","0","88","",""
